CreateProcessInternalW,CreateServiceA,CreateServiceW,CryptExportKey,CryptGenKey,DeviceIoControl,EnumServicesStatusA,EnumServicesStatusW,FindWindowA,GetAdaptersAddresses,GetComputerNameA,GetComputerNameW,GetDiskFreeSpaceExW,GetDiskFreeSpaceW,GlobalMemoryStatusEx,InternetOpenA,IsDebuggerPresent,LdrGetDllHandle,LookupPrivilegeValueW,MoveFileWithProgressW,NtAllocateVirtualMemory,NtCreateFile,NtCreateKey,NtGetContextThread,NtMapViewOfSection,NtProtectVirtualMemory,NtQuerySystemInformation,NtResumeThread,NtSetContextThread,NtSetValueKey,NtTerminateProcess,NtUnmapViewOfSection,NtWriteFile,Process32NextW,RegOpenKeyExA,RegOpenKeyExW,RegSetValueExA,RegSetValueExW,SetFileAttributesW,SetWindowsHookExA,SetWindowsHookExW,ShellExecuteExW,WriteConsoleA,WriteConsoleW,WriteProcessMemory,Family,row_sum,Process,System Info,Memory,Registry,File System,Services,Network,GUI Interactions,Privileges,Devices,Cryptography,Threads,Data access and storage,Generic OS queries,Memory (%),Network (%),Process (%),Registry (%),System Info (%),Security,Services (%),UI artifacts,File System (%),Privileges (%),GUI Interactions (%)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,15,0,1,2,0,0,0,0,2,1,0,0,0,0.066666667,0,5.157593123,0,0,0,2.777777778,0.066666667,0,0,0,2.06238671,4.552140927
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,3,1,0,1,0,0,0,1,0,0,0,0.066666667,0.066666667,2.255639098,0,0,0,8.333333333,0.066666667,0,0,2.146430685,2.051896437,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,3.550295858,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,9,19,0,2,2,2,1,0,1,1,1,0,0,0,0.105263158,0.052631579,3.833865815,1.632637864,0,3.571394612,4.166666667,0.052631579,0,0,1.678643027,1.551025859,1.590249658
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,3.550295858,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,9,20,0,2,2,2,2,0,1,1,1,0,0,0,0.15,0.05,3.641556587,1.533620434,0,3.415118289,3.921568627,0.05,0,0,3.226938821,1.465476707,1.498378692
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,9,20,0,2,2,2,2,0,1,1,1,0,0,0,0.15,0.05,3.641556587,1.533620434,0,3.415118289,3.921568627,0.05,0,0,3.226938821,1.465476707,1.498378692
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,15,0,2,2,1,1,0,0,0,0,0,0,0,0.066666667,0,4.812834225,0,0,2.156641636,5.555555556,0,0,0,2.060792071,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,4,1,0,1,0,0,0,0,0,0,0,0.066666667,0.066666667,2.122641509,0,0,0,11.11111111,0,0,0,2.031126913,0,0
1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,18,2,4,1,0,2,0,0,0,0,0,0,0,0.111111111,0.055555556,1.738092655,0,4.444444444,0,8.08988764,0,0,0,3.374250351,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,3.550295858,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,9,20,0,2,2,2,2,0,1,1,1,0,0,0,0.15,0.05,3.641556587,1.533620434,0,3.415118289,3.921568627,0.05,0,0,3.226938821,1.465476707,1.498378692
